time,td,byt,pkt
1768370350127904.0,100000,4767,13
1768370350227904.0,100000,860,11
1768370350327904.0,100000,228,3
1768370350427904.0,100000,0,0
1768370350527904.0,100000,2200,17
1768370350627904.0,100000,312,4
1768370350727904.0,100000,460,6
1768370350827904.0,100000,156,2
1768370350927904.0,100000,456,6
1768370351027904.0,100000,0,0
1768370351127904.0,100000,76,1
1768370351227904.0,100000,156,2
1768370351327904.0,100000,692,9
1768370351427904.0,100000,156,2
1768370351527904.0,100000,616,8
1768370351627904.0,100000,312,4
1768370351727904.0,100000,536,7
1768370351827904.0,100000,0,0
1768370351927904.0,100000,844,11
1768370352027904.0,100000,156,2
1768370352127904.0,100000,544,7
1768370352227904.0,100000,156,2
1768370352327904.0,100000,308,4
1768370352427904.0,100000,936,12
1768370352527904.0,100000,1152,15
1768370352627904.0,100000,156,2
1768370352727904.0,100000,536,7
1768370352827904.0,100000,312,4
1768370352927904.0,100000,616,8
1768370353027904.0,100000,312,4
1768370353127904.0,100000,696,9
1768370353227904.0,100000,156,2
1768370353327904.0,100000,836,11
1768370353427904.0,100000,312,4
1768370353527904.0,100000,536,7
1768370353627904.0,100000,0,0
1768370353727904.0,100000,920,12
1768370353827904.0,100000,80,1
1768370353927904.0,100000,1228,16
1768370354027904.0,100000,312,4
1768370354127904.0,100000,388,5
1768370354227904.0,100000,312,4
1768370354327904.0,100000,852,11
1768370354427904.0,100000,156,2
1768370354527904.0,100000,1080,14
1768370354627904.0,100000,468,6
1768370354727904.0,100000,616,8
1768370354827904.0,100000,156,2
1768370354927904.0,100000,228,3
1768370355027904.0,100000,156,2
1768370355127904.0,100000,772,10
1768370355227904.0,100000,156,2
1768370355327904.0,100000,1552,20
1768370355427904.0,100000,312,4
1768370355527904.0,100000,684,9
1768370355627904.0,100000,312,4
1768370355727904.0,100000,684,9
1768370355827904.0,100000,312,4
1768370355927904.0,100000,764,10
1768370356027904.0,100000,312,4
1768370356127904.0,100000,700,9
1768370356227904.0,100000,156,2
1768370356327904.0,100000,612,8
1768370356427904.0,100000,312,4
1768370356527904.0,100000,764,10
1768370356627904.0,100000,156,2
1768370356727904.0,100000,764,10
1768370356827904.0,100000,312,4
1768370356927904.0,100000,464,6
1768370357027904.0,100000,1920,16
1768370357127904.0,100000,890,12
1768370357227904.0,100000,312,4
1768370357327904.0,100000,1148,15
1768370357427904.0,100000,468,6
1768370357527904.0,100000,1156,15
1768370357627904.0,100000,186,3
1768370357727904.0,100000,536,7
1768370357827904.0,100000,366,5
1768370357927904.0,100000,768,10
1768370358027904.0,100000,312,4
1768370358127904.0,100000,464,6
1768370358227904.0,100000,684,9
1768370358327904.0,100000,1726,23
1768370358427904.0,100000,156,2
1768370358527904.0,100000,840,11
1768370358627904.0,100000,156,2
1768370358727904.0,100000,1224,16
1768370358827904.0,100000,0,0
1768370358927904.0,100000,616,8
1768370359027904.0,100000,468,6
1768370359127904.0,100000,460,6
1768370359227904.0,100000,624,8
1768370359327904.0,100000,684,9
1768370359427904.0,100000,468,6
1768370359527904.0,100000,620,8
1768370359627904.0,100000,156,2
1768370359727904.0,100000,768,10
1768370359827904.0,100000,156,2
1768370359927904.0,100000,1461,17
1768370360027904.0,100000,214,3
1768370360127904.0,100000,1012,13
1768370360227904.0,100000,312,4
1768370360327904.0,100000,920,12
1768370360427904.0,100000,3065,9
1768370360527904.0,100000,1604,16
1768370360627904.0,100000,836,8
1768370360727904.0,100000,1288,16
1768370360827904.0,100000,156,2
1768370360927904.0,100000,848,11
1768370361027904.0,100000,0,0
1768370361127904.0,100000,840,11
1768370361227904.0,100000,468,6
1768370361327904.0,100000,616,8
1768370361427904.0,100000,548,7
1768370361527904.0,100000,612,8
1768370361627904.0,100000,156,2
1768370361727904.0,100000,924,12
1768370361827904.0,100000,624,8
1768370361927904.0,100000,540,7
1768370362027904.0,100000,624,8
1768370362127904.0,100000,464,6
1768370362227904.0,100000,0,0
1768370362327904.0,100000,760,9
1768370362427904.0,100000,516,7
1768370362527904.0,100000,1316,17
1768370362627904.0,100000,156,2
1768370362727904.0,100000,1534,20
1768370362827904.0,100000,446,6
1768370362927904.0,100000,380,5
1768370363027904.0,100000,156,2
1768370363127904.0,100000,1456,19
1768370363227904.0,100000,0,0
1768370363327904.0,100000,1672,22
1768370363427904.0,100000,312,4
1768370363527904.0,100000,1076,14
1768370363627904.0,100000,156,2
1768370363727904.0,100000,1000,13
1768370363827904.0,100000,0,0
1768370363927904.0,100000,456,6
1768370364027904.0,100000,0,0
1768370364127904.0,100000,692,9
1768370364227904.0,100000,0,0
1768370364327904.0,100000,1076,14
1768370364427904.0,100000,0,0
1768370364527904.0,100000,156,2
1768370364627904.0,100000,312,4
1768370364727904.0,100000,608,8
1768370364827904.0,100000,156,2
1768370364927904.0,100000,536,7
1768370365027904.0,100000,468,6
1768370365127904.0,100000,1000,13
1768370365227904.0,100000,156,2
1768370365327904.0,100000,684,9
1768370365427904.0,100000,468,6
1768370365527904.0,100000,464,6
1768370365627904.0,100000,156,2
1768370365727904.0,100000,612,8
1768370365827904.0,100000,312,4
1768370365927904.0,100000,768,10
1768370366027904.0,100000,312,4
1768370366127904.0,100000,772,10
1768370366227904.0,100000,312,4
1768370366327904.0,100000,920,12
1768370366427904.0,100000,780,10
1768370366527904.0,100000,996,13
1768370366627904.0,100000,156,2
1768370366727904.0,100000,536,7
1768370366827904.0,100000,468,6
1768370366927904.0,100000,460,6
1768370367027904.0,100000,624,8
1768370367127904.0,100000,616,8
1768370367227904.0,100000,958,12
1768370367327904.0,100000,1520,20
1768370367427904.0,100000,624,8
1768370367527904.0,100000,1008,13
1768370367627904.0,100000,624,8
1768370367727904.0,100000,612,8
1768370367827904.0,100000,312,4
1768370367927904.0,100000,928,12
1768370368027904.0,100000,156,2
1768370368127904.0,100000,540,7
1768370368227904.0,100000,156,2
1768370368327904.0,100000,996,13
1768370368427904.0,100000,468,6
1768370368527904.0,100000,996,13
1768370368627904.0,100000,694,9
1768370368727904.0,100000,1058,14
1768370368827904.0,100000,156,2
1768370368927904.0,100000,1076,14
1768370369027904.0,100000,0,0
1768370369127904.0,100000,1000,13
1768370369227904.0,100000,468,6
1768370369327904.0,100000,1072,14
1768370369427904.0,100000,671,8
1768370369527904.0,100000,1000,13
1768370369627904.0,100000,156,2
1768370369727904.0,100000,924,12
1768370369827904.0,100000,312,4
1768370369927904.0,100000,460,6
1768370370027904.0,100000,0,0
1768370370127904.0,100000,1152,15
1768370370227904.0,100000,468,6
1768370370327904.0,100000,840,11
1768370370427904.0,100000,468,6
1768370370527904.0,100000,380,5
1768370370627904.0,100000,156,2
1768370370727904.0,100000,840,11
1768370370827904.0,100000,312,4
1768370370927904.0,100000,996,13
1768370371027904.0,100000,312,4
1768370371127904.0,100000,1308,17
1768370371227904.0,100000,312,4
1768370371327904.0,100000,616,8
1768370371427904.0,100000,704,9
1768370371527904.0,100000,456,6
1768370371627904.0,100000,468,6
1768370371727904.0,100000,460,6
1768370371827904.0,100000,468,6
1768370371927904.0,100000,540,7
1768370372027904.0,100000,156,2
1768370372127904.0,100000,992,13
1768370372227904.0,100000,156,2
1768370372327904.0,100000,768,10
1768370372427904.0,100000,156,2
1768370372527904.0,100000,1152,15
1768370372627904.0,100000,156,2
1768370372727904.0,100000,844,11
1768370372827904.0,100000,1816,6
1768370372927904.0,100000,768,10
1768370373027904.0,100000,624,8
1768370373127904.0,100000,996,13
1768370373227904.0,100000,312,4
1768370373327904.0,100000,618,8
1768370373427904.0,100000,758,10
1768370373527904.0,100000,848,11
1768370373627904.0,100000,624,8
1768370373727904.0,100000,1080,14
1768370373827904.0,100000,156,2
1768370373927904.0,100000,692,9
1768370374027904.0,100000,468,6
1768370374127904.0,100000,764,10
1768370374227904.0,100000,468,6
1768370374327904.0,100000,536,7
1768370374427904.0,100000,312,4
1768370374527904.0,100000,768,10
1768370374627904.0,100000,312,4
1768370374727904.0,100000,608,8
1768370374827904.0,100000,312,4
1768370374927904.0,100000,764,10
1768370375027904.0,100000,156,2
1768370375127904.0,100000,764,10
1768370375227904.0,100000,0,0
1768370375327904.0,100000,692,9
1768370375427904.0,100000,312,4
1768370375527904.0,100000,384,5
1768370375627904.0,100000,312,4
1768370375727904.0,100000,1076,14
1768370375827904.0,100000,468,6
1768370375927904.0,100000,540,7
1768370376027904.0,100000,468,6
1768370376127904.0,100000,460,6
1768370376227904.0,100000,156,2
1768370376327904.0,100000,616,8
1768370376427904.0,100000,468,6
1768370376527904.0,100000,692,9
1768370376627904.0,100000,312,4
1768370376727904.0,100000,844,11
1768370376827904.0,100000,312,4
1768370376927904.0,100000,1228,16
1768370377027904.0,100000,312,4
1768370377127904.0,100000,764,10
1768370377227904.0,100000,312,4
1768370377327904.0,100000,928,12
1768370377427904.0,100000,156,2
1768370377527904.0,100000,536,7
1768370377627904.0,100000,468,6
1768370377727904.0,100000,1152,15
1768370377827904.0,100000,442,6
1768370377927904.0,100000,536,7
1768370378027904.0,100000,312,4
1768370378127904.0,100000,304,4
1768370378227904.0,100000,156,2
