time,td,byt,pkt
1768370350127904.0,1000000,9439,62
1768370351127904.0,1000000,3544,46
1768370352127904.0,1000000,5028,65
1768370353127904.0,1000000,5076,66
1768370354127904.0,1000000,4412,57
1768370355127904.0,1000000,5860,76
1768370356127904.0,1000000,6160,71
1768370357127904.0,1000000,6142,81
1768370358127904.0,1000000,6334,83
1768370359127904.0,1000000,5611,71
1768370360127904.0,1000000,10041,91
1768370361127904.0,1000000,5952,77
1768370362127904.0,1000000,5728,74
1768370363127904.0,1000000,6128,80
1768370364127904.0,1000000,4004,52
1768370365127904.0,1000000,4932,64
1768370366127904.0,1000000,6024,78
1768370367127904.0,1000000,7358,95
1768370368127904.0,1000000,6140,80
1768370369127904.0,1000000,6063,78
1768370370127904.0,1000000,5924,77
1768370371127904.0,1000000,5488,71
1768370372127904.0,1000000,7432,79
1768370373127904.0,1000000,6552,85
1768370374127904.0,1000000,5000,65
1768370375127904.0,1000000,5016,65
1768370376127904.0,1000000,5400,70
1768370377127904.0,1000000,5606,73
1768370378127904.0,1000000,5360,70
1768370379127904.0,1000000,19588,112
1768370380127904.0,1000000,5892,75
1768370381127904.0,1000000,12988,87
1768370382127904.0,1000000,10724,101
1768370383127904.0,1000000,6736,88
1768370384127904.0,1000000,5722,75
1768370385127904.0,1000000,7204,94
1768370386127904.0,1000000,6450,76
1768370387127904.0,1000000,8919,84
1768370388127904.0,1000000,4980,65
1768370389127904.0,1000000,6420,83
1768370390127904.0,1000000,4456,58
1768370391127904.0,1000000,6652,86
1768370392127904.0,1000000,5848,76
1768370393127904.0,1000000,5224,68
1768370394127904.0,1000000,5552,72
1768370395127904.0,1000000,5476,71
1768370396127904.0,1000000,5644,73
1768370397127904.0,1000000,5046,66
1768370398127904.0,1000000,6072,79
1768370399127904.0,1000000,6535,84
1768370400127904.0,1000000,4464,58
1768370401127904.0,1000000,6986,91
1768370402127904.0,1000000,6974,77
1768370403127904.0,1000000,6452,84
1768370404127904.0,1000000,6988,83
1768370405127904.0,1000000,5536,72
1768370406127904.0,1000000,4160,54
1768370407127904.0,1000000,4924,64
1768370408127904.0,1000000,5860,76
1768370409127904.0,1000000,4948,64
1768370410127904.0,1000000,5986,79
1768370411127904.0,1000000,4552,59
1768370412127904.0,1000000,5763,74
1768370413127904.0,1000000,6232,81
1768370414127904.0,1000000,4358,57
1768370415127904.0,1000000,6328,82
1768370416127904.0,1000000,4936,64
1768370417127904.0,1000000,5252,68
1768370418127904.0,1000000,5824,76
1768370419127904.0,1000000,5860,76
1768370420127904.0,1000000,5312,69
1768370421127904.0,1000000,7826,93
1768370422127904.0,1000000,4844,63
1768370423127904.0,1000000,5156,67
1768370424127904.0,1000000,5396,70
1768370425127904.0,1000000,5564,72
1768370426127904.0,1000000,3768,49
1768370427127904.0,1000000,5374,70
1768370428127904.0,1000000,5688,74
1768370429127904.0,1000000,5063,65
1768370430127904.0,1000000,4700,61
1768370431127904.0,1000000,6104,79
1768370432127904.0,1000000,5476,71
1768370433127904.0,1000000,4984,65
1768370434127904.0,1000000,6796,88
1768370435127904.0,1000000,7104,92
1768370436127904.0,1000000,6972,73
1768370437127904.0,1000000,9221,89
1768370438127904.0,1000000,8412,101
1768370439127904.0,1000000,6326,82
1768370440127904.0,1000000,5334,69
1768370441127904.0,1000000,5244,68
1768370442127904.0,1000000,6075,78
1768370443127904.0,1000000,5916,77
1768370444127904.0,1000000,6362,83
1768370445127904.0,1000000,7306,96
1768370446127904.0,1000000,5484,71
1768370447127904.0,1000000,6088,79
1768370448127904.0,1000000,7008,91
1768370449127904.0,1000000,5768,75
1768370450127904.0,1000000,5712,74
1768370451127904.0,1000000,5460,71
1768370452127904.0,1000000,5404,70
1768370453127904.0,1000000,7312,95
1768370454127904.0,1000000,5700,74
1768370455127904.0,1000000,5920,77
1768370456127904.0,1000000,5076,66
1768370457127904.0,1000000,6602,86
1768370458127904.0,1000000,7460,97
1768370459127904.0,1000000,4587,59
1768370460127904.0,1000000,6244,81
1768370461127904.0,1000000,5304,69
1768370462127904.0,1000000,6816,72
1768370463127904.0,1000000,6380,83
1768370464127904.0,1000000,5160,67
1768370465127904.0,1000000,4828,55
1768370466127904.0,1000000,3764,49
1768370467127904.0,1000000,5028,65
1768370468127904.0,1000000,5228,68
1768370469127904.0,1000000,4172,54
1768370470127904.0,1000000,5544,72
1768370471127904.0,1000000,4868,63
1768370472127904.0,1000000,5287,68
1768370473127904.0,1000000,5388,70
1768370474127904.0,1000000,5046,66
1768370475127904.0,1000000,4860,63
1768370476127904.0,1000000,5164,67
1768370477127904.0,1000000,7349,81
1768370478127904.0,1000000,5456,71
1768370479127904.0,1000000,6020,78
1768370480127904.0,1000000,7188,69
1768370481127904.0,1000000,3988,51
1768370482127904.0,1000000,5092,66
1768370483127904.0,1000000,7076,91
1768370484127904.0,1000000,7178,85
1768370485127904.0,1000000,4156,54
1768370486127904.0,1000000,5012,65
1768370487127904.0,1000000,5690,74
1768370488127904.0,1000000,6396,83
1768370489127904.0,1000000,6257,81
1768370490127904.0,1000000,5856,76
1768370491127904.0,1000000,5308,69
1768370492127904.0,1000000,5492,71
1768370493127904.0,1000000,5216,68
1768370494127904.0,1000000,4944,64
1768370495127904.0,1000000,7020,91
1768370496127904.0,1000000,5708,74
1768370497127904.0,1000000,7408,96
1768370498127904.0,1000000,6208,81
1768370499127904.0,1000000,6246,81
1768370500127904.0,1000000,7332,95
1768370501127904.0,1000000,6632,86
1768370502127904.0,1000000,6375,82
1768370503127904.0,1000000,7836,102
1768370504127904.0,1000000,6666,87
1768370505127904.0,1000000,7148,93
1768370506127904.0,1000000,6552,85
1768370507127904.0,1000000,3540,46
1768370508127904.0,1000000,5984,78
1768370509127904.0,1000000,5556,72
1768370510127904.0,1000000,3152,41
1768370511127904.0,1000000,5020,65
1768370512127904.0,1000000,4632,60
1768370513127904.0,1000000,5060,66
1768370514127904.0,1000000,5180,67
1768370515127904.0,1000000,6340,82
1768370516127904.0,1000000,5312,69
1768370517127904.0,1000000,5202,68
1768370518127904.0,1000000,6052,79
1768370519127904.0,1000000,5523,71
1768370520127904.0,1000000,3780,49
1768370521127904.0,1000000,5724,74
1768370522127904.0,1000000,7420,80
1768370523127904.0,1000000,5688,74
1768370524127904.0,1000000,5776,75
1768370525127904.0,1000000,7420,90
1768370526127904.0,1000000,7160,82
1768370527127904.0,1000000,8538,79
1768370528127904.0,1000000,5980,78
1768370529127904.0,1000000,4720,61
1768370530127904.0,1000000,5384,70
1768370531127904.0,1000000,4092,53
1768370532127904.0,1000000,6231,80
1768370533127904.0,1000000,7046,92
1768370534127904.0,1000000,5434,71
1768370535127904.0,1000000,4468,58
1768370536127904.0,1000000,4692,61
1768370537127904.0,1000000,5332,69
1768370538127904.0,1000000,4976,65
1768370539127904.0,1000000,6546,76
1768370540127904.0,1000000,4480,58
1768370541127904.0,1000000,5160,67
1768370542127904.0,1000000,4552,59
1768370543127904.0,1000000,5760,75
1768370544127904.0,1000000,6036,78
1768370545127904.0,1000000,5392,70
1768370546127904.0,1000000,5636,73
1768370547127904.0,1000000,7086,87
1768370548127904.0,1000000,7152,93
1768370549127904.0,1000000,5979,77
1768370550127904.0,1000000,6640,86
1768370551127904.0,1000000,4756,62
1768370552127904.0,1000000,4856,63
1768370553127904.0,1000000,7708,100
1768370554127904.0,1000000,5704,74
1768370555127904.0,1000000,5320,69
1768370556127904.0,1000000,4688,61
1768370557127904.0,1000000,6564,85
1768370558127904.0,1000000,7460,97
1768370559127904.0,1000000,5370,70
1768370560127904.0,1000000,6470,84
1768370561127904.0,1000000,5720,74
1768370562127904.0,1000000,6031,78
1768370563127904.0,1000000,9909,92
1768370564127904.0,1000000,6170,78
1768370565127904.0,1000000,6576,85
1768370566127904.0,1000000,6224,81
1768370567127904.0,1000000,5784,75
1768370568127904.0,1000000,7016,91
1768370569127904.0,1000000,5460,71
1768370570127904.0,1000000,5084,66
1768370571127904.0,1000000,5472,71
1768370572127904.0,1000000,6176,80
1768370573127904.0,1000000,5208,68
1768370574127904.0,1000000,4544,59
1768370575127904.0,1000000,5508,66
1768370576127904.0,1000000,4876,58
1768370577127904.0,1000000,4510,59
1768370578127904.0,1000000,5638,74
1768370579127904.0,1000000,6635,80
1768370580127904.0,1000000,4928,64
1768370581127904.0,1000000,5716,74
1768370582127904.0,1000000,7344,79
1768370583127904.0,1000000,5600,73
1768370584127904.0,1000000,4860,63
1768370585127904.0,1000000,5948,77
1768370586127904.0,1000000,5236,68
1768370587127904.0,1000000,4828,55
1768370588127904.0,1000000,5900,77
1768370589127904.0,1000000,5248,68
1768370590127904.0,1000000,3852,50
1768370591127904.0,1000000,6804,88
1768370592127904.0,1000000,4583,59
1768370593127904.0,1000000,5548,72
1768370594127904.0,1000000,5810,76
1768370595127904.0,1000000,4636,60
1768370596127904.0,1000000,4924,64
1768370597127904.0,1000000,4700,61
1768370598127904.0,1000000,5840,76
1768370599127904.0,1000000,6028,78
1768370600127904.0,1000000,4860,63
1768370601127904.0,1000000,7429,88
1768370602127904.0,1000000,6168,80
1768370603127904.0,1000000,6092,79
1768370604127904.0,1000000,6176,80
1768370605127904.0,1000000,4852,63
1768370606127904.0,1000000,5944,77
1768370607127904.0,1000000,6774,88
1768370608127904.0,1000000,6836,89
1768370609127904.0,1000000,5423,70
1768370610127904.0,1000000,6340,82
1768370611127904.0,1000000,6142,80
1768370612127904.0,1000000,4546,59
1768370613127904.0,1000000,6468,84
1768370614127904.0,1000000,7412,96
1768370615127904.0,1000000,5940,77
1768370616127904.0,1000000,5528,72
1768370617127904.0,1000000,6598,86
1768370618127904.0,1000000,6432,84
1768370619127904.0,1000000,4552,59
1768370620127904.0,1000000,6652,86
1768370621127904.0,1000000,5176,67
1768370622127904.0,1000000,6239,81
1768370623127904.0,1000000,22535,125
1768370624127904.0,1000000,18498,118
1768370625127904.0,1000000,7802,102
1768370626127904.0,1000000,6100,79
1768370627127904.0,1000000,19758,100
1768370628127904.0,1000000,6216,81
1768370629127904.0,1000000,5636,73
1768370630127904.0,1000000,4224,55
1768370631127904.0,1000000,3540,46
1768370632127904.0,1000000,4926,64
1768370633127904.0,1000000,5152,67
1768370634127904.0,1000000,4940,64
1768370635127904.0,1000000,4948,64
1768370636127904.0,1000000,6328,82
1768370637127904.0,1000000,5240,69
1768370638127904.0,1000000,6252,81
1768370639127904.0,1000000,5131,66
1768370640127904.0,1000000,4868,63
1768370641127904.0,1000000,4860,63
1768370642127904.0,1000000,7102,76
1768370643127904.0,1000000,5125,67
1768370644127904.0,1000000,9296,82
1768370645127904.0,1000000,5836,75
1768370646127904.0,1000000,5644,73
1768370647127904.0,1000000,5822,75
1768370648127904.0,1000000,5864,69
1768370649127904.0,1000000,5944,77
1768370650127904.0,1000000,5012,65
1768370651127904.0,1000000,5560,72
1768370652127904.0,1000000,5281,68
1768370653127904.0,1000000,6000,78
1768370654127904.0,1000000,5826,76
1768370655127904.0,1000000,5320,69
1768370656127904.0,1000000,6462,84
1768370657127904.0,1000000,9719,91
1768370658127904.0,1000000,5932,74
1768370659127904.0,1000000,7354,87
1768370660127904.0,1000000,6298,81
1768370661127904.0,1000000,4848,63
1768370662127904.0,1000000,5858,76
1768370663127904.0,1000000,7700,100
1768370664127904.0,1000000,6868,89
1768370665127904.0,1000000,5308,69
1768370666127904.0,1000000,6118,80
1768370667127904.0,1000000,5984,78
1768370668127904.0,1000000,6310,82
1768370669127904.0,1000000,6465,84
1768370670127904.0,1000000,5430,71
1768370671127904.0,1000000,5788,75
1768370672127904.0,1000000,6668,87
1768370673127904.0,1000000,4668,61
1768370674127904.0,1000000,5784,75
1768370675127904.0,1000000,3916,51
1768370676127904.0,1000000,5644,73
1768370677127904.0,1000000,5602,73
1768370678127904.0,1000000,6912,90
1768370679127904.0,1000000,5888,76
1768370680127904.0,1000000,6812,88
1768370681127904.0,1000000,5396,70
1768370682127904.0,1000000,5699,73
1768370683127904.0,1000000,7766,101
1768370684127904.0,1000000,5746,77
1768370685127904.0,1000000,6908,90
1768370686127904.0,1000000,6320,82
1768370687127904.0,1000000,5468,71
1768370688127904.0,1000000,6518,85
1768370689127904.0,1000000,6870,90
1768370690127904.0,1000000,4916,64
1768370691127904.0,1000000,6896,89
1768370692127904.0,1000000,7222,95
1768370693127904.0,1000000,5308,69
1768370694127904.0,1000000,6852,89
1768370695127904.0,1000000,4476,58
1768370696127904.0,1000000,5780,75
1768370697127904.0,1000000,5012,66
1768370698127904.0,1000000,6206,81
1768370699127904.0,1000000,5135,66
1768370700127904.0,1000000,4240,55
1768370701127904.0,1000000,5408,70
1768370702127904.0,1000000,6408,67
1768370703127904.0,1000000,5834,76
1768370704127904.0,1000000,7301,84
1768370705127904.0,1000000,3984,52
1768370706127904.0,1000000,24116,91
1768370707127904.0,1000000,10728,50
1768370708127904.0,1000000,4986,65
1768370709127904.0,1000000,4616,52
1768370710127904.0,1000000,5126,67
1768370711127904.0,1000000,5560,72
1768370712127904.0,1000000,5603,72
1768370713127904.0,1000000,6870,90
1768370714127904.0,1000000,5510,72
1768370715127904.0,1000000,5548,72
1768370716127904.0,1000000,5484,71
1768370717127904.0,1000000,5320,69
1768370718127904.0,1000000,8952,108
1768370719127904.0,1000000,11584,90
1768370720127904.0,1000000,25630,95
1768370721127904.0,1000000,4852,63
1768370722127904.0,1000000,4300,56
1768370723127904.0,1000000,5606,73
1768370724127904.0,1000000,5324,69
