time,td,byt,pkt
1261070332163486.0,10000000,36459501,55022
1261070342163486.0,10000000,27121175,41071
1261070352163486.0,10000000,29309331,40185
1261070362163486.0,10000000,30067809,46811
1261070372163486.0,10000000,25880127,34653
1261070382163486.0,10000000,12714093,23889
1261070392163486.0,10000000,13981035,23360
1261070402163486.0,10000000,12158357,21341
1261070412163486.0,10000000,17629857,27263
1261070422163486.0,10000000,19250060,36570
1261070432163486.0,10000000,15201089,33300
1261070442163486.0,10000000,30716860,50933
1261070452163486.0,10000000,31679030,50563
1261070462163486.0,10000000,24843541,42371
1261070472163486.0,10000000,13782430,32376
1261070482163486.0,10000000,11850005,31092
1261070492163486.0,10000000,11702694,30859
1261070502163486.0,10000000,12140106,29938
1261070512163486.0,10000000,14386432,36487
1261070522163486.0,10000000,14643023,35644
1261070532163486.0,10000000,19524547,38814
1261070542163486.0,10000000,12697630,34623
1261070552163486.0,10000000,11167448,28398
1261070562163486.0,10000000,17892419,36558
1261070572163486.0,10000000,11829116,31727
1261070582163486.0,10000000,21120677,39966
1261070592163486.0,10000000,25002915,48170
1261070602163486.0,10000000,10314391,18016
