time,td,byt,pkt
1261070492163486.0,1000000,972190,3186
1261070493163486.0,1000000,881050,2961
1261070494163486.0,1000000,605820,2463
1261070495163486.0,1000000,766913,2885
1261070496163486.0,1000000,2871375,4425
1261070497163486.0,1000000,820194,2440
1261070498163486.0,1000000,659273,2453
1261070499163486.0,1000000,1654320,3854
1261070500163486.0,1000000,1298363,3219
1261070501163486.0,1000000,1173196,2973
1261070502163486.0,1000000,1192654,2913
1261070503163486.0,1000000,1474588,3469
1261070504163486.0,1000000,984921,2827
1261070505163486.0,1000000,985535,2763
1261070506163486.0,1000000,2185051,3611
1261070507163486.0,1000000,734805,2476
1261070508163486.0,1000000,786640,2382
1261070509163486.0,1000000,1239268,3403
1261070510163486.0,1000000,683367,2308
1261070511163486.0,1000000,1873277,3786
1261070512163486.0,1000000,855336,2674
1261070513163486.0,1000000,676789,2380
1261070514163486.0,1000000,1837661,3987
1261070515163486.0,1000000,1640071,4251
1261070516163486.0,1000000,1629586,4007
1261070517163486.0,1000000,1386694,3573
1261070518163486.0,1000000,887081,3217
1261070519163486.0,1000000,2128134,4793
1261070520163486.0,1000000,2108323,4296
1261070521163486.0,1000000,1236757,3309
1261070522163486.0,1000000,1758497,3917
1261070523163486.0,1000000,1392098,3394
1261070524163486.0,1000000,1181944,3090
1261070525163486.0,1000000,1537936,4340
1261070526163486.0,1000000,1118518,3581
1261070527163486.0,1000000,840366,2693
1261070528163486.0,1000000,1179103,3050
1261070529163486.0,1000000,1488676,3601
1261070530163486.0,1000000,1945349,3879
1261070531163486.0,1000000,2200536,4099
1261070532163486.0,1000000,1792913,3671
1261070533163486.0,1000000,1901199,3792
1261070534163486.0,1000000,2575809,4271
1261070535163486.0,1000000,2158131,4183
1261070536163486.0,1000000,1586191,3373
1261070537163486.0,1000000,2084006,3969
1261070538163486.0,1000000,1753765,3778
1261070539163486.0,1000000,2528361,4626
1261070540163486.0,1000000,1712897,3613
1261070541163486.0,1000000,1431275,3538
1261070542163486.0,1000000,1632946,4098
1261070543163486.0,1000000,1251222,3863
1261070544163486.0,1000000,1963853,4423
1261070545163486.0,1000000,1034532,3428
1261070546163486.0,1000000,848639,2453
1261070547163486.0,1000000,1474782,3758
1261070548163486.0,1000000,998397,2940
1261070549163486.0,1000000,1191883,3391
1261070550163486.0,1000000,1095679,3164
1261070551163486.0,1000000,1205697,3105
1261070552163486.0,1000000,1099693,2746
1261070553163486.0,1000000,766238,2432
1261070554163486.0,1000000,1502788,3178
1261070555163486.0,1000000,1432918,3481
1261070556163486.0,1000000,1752542,3098
1261070557163486.0,1000000,631621,2492
1261070558163486.0,1000000,1297152,3006
1261070559163486.0,1000000,513219,2131
1261070560163486.0,1000000,1204262,3026
1261070561163486.0,1000000,967015,2808
1261070562163486.0,1000000,1174713,3053
1261070563163486.0,1000000,1220798,2879
1261070564163486.0,1000000,1190497,3127
1261070565163486.0,1000000,520459,1963
1261070566163486.0,1000000,1582421,3166
1261070567163486.0,1000000,6205438,9424
1261070568163486.0,1000000,2437003,4231
1261070569163486.0,1000000,1214633,2916
1261070570163486.0,1000000,1337825,3189
1261070571163486.0,1000000,1008632,2610
1261070572163486.0,1000000,1629126,3932
1261070573163486.0,1000000,1639548,3478
1261070574163486.0,1000000,645318,2471
1261070575163486.0,1000000,629674,2553
1261070576163486.0,1000000,879669,2645
1261070577163486.0,1000000,821379,2551
1261070578163486.0,1000000,579308,2097
1261070579163486.0,1000000,2233514,5060
1261070580163486.0,1000000,1401588,3369
1261070581163486.0,1000000,1369992,3571
1261070582163486.0,1000000,953393,2533
1261070583163486.0,1000000,913872,2670
1261070584163486.0,1000000,3040016,4660
1261070585163486.0,1000000,1684640,3704
1261070586163486.0,1000000,1509014,3523
1261070587163486.0,1000000,1313246,3453
1261070588163486.0,1000000,1070468,3195
1261070589163486.0,1000000,2088246,3813
1261070590163486.0,1000000,2776566,4718
1261070591163486.0,1000000,5771216,7697
1261070592163486.0,1000000,3925962,6614
1261070593163486.0,1000000,941895,2848
1261070594163486.0,1000000,1267685,3549
1261070595163486.0,1000000,1624855,4794
1261070596163486.0,1000000,2438477,4405
1261070597163486.0,1000000,2521863,4239
1261070598163486.0,1000000,3610403,5458
1261070599163486.0,1000000,1398291,3258
1261070600163486.0,1000000,2679884,4582
1261070601163486.0,1000000,4593600,8423
1261070602163486.0,1000000,2732099,4992
1261070603163486.0,1000000,3312946,5975
1261070604163486.0,1000000,3928781,6329
1261070605163486.0,1000000,340565,720
