time,td,byt,pkt
1521118773289502.0,1000,241739,302
1521118773290502.0,1000,405638,408
1521118773291502.0,1000,420221,442
1521118773292502.0,1000,295234,390
1521118773293502.0,1000,641860,595
1521118773294502.0,1000,550607,527
1521118773295502.0,1000,551887,554
1521118773296502.0,1000,339991,412
1521118773297502.0,1000,348449,409
1521118773298502.0,1000,486879,495
1521118773299502.0,1000,299987,347
1521118773300502.0,1000,247362,305
1521118773301502.0,1000,233928,297
1521118773302502.0,1000,279241,331
1521118773303502.0,1000,343517,382
1521118773304502.0,1000,309656,347
1521118773305502.0,1000,384229,417
1521118773306502.0,1000,382012,413
1521118773307502.0,1000,437728,460
1521118773308502.0,1000,542160,529
1521118773309502.0,1000,460466,461
1521118773310502.0,1000,339512,392
1521118773311502.0,1000,332831,369
1521118773312502.0,1000,267895,340
1521118773313502.0,1000,263925,318
1521118773314502.0,1000,378363,385
1521118773315502.0,1000,327147,371
1521118773316502.0,1000,338637,355
1521118773317502.0,1000,503858,476
1521118773318502.0,1000,404144,422
1521118773319502.0,1000,431409,434
1521118773320502.0,1000,340614,360
1521118773321502.0,1000,356451,395
1521118773322502.0,1000,501064,486
1521118773323502.0,1000,422634,432
1521118773324502.0,1000,414023,478
1521118773325502.0,1000,345278,393
1521118773326502.0,1000,328214,367
1521118773327502.0,1000,306670,382
1521118773328502.0,1000,370102,404
1521118773329502.0,1000,467789,490
1521118773330502.0,1000,291516,345
1521118773331502.0,1000,233485,316
1521118773332502.0,1000,324439,370
1521118773333502.0,1000,237200,315
1521118773334502.0,1000,193600,275
1521118773335502.0,1000,203385,268
1521118773336502.0,1000,242657,315
1521118773337502.0,1000,211039,290
1521118773338502.0,1000,271115,305
1521118773339502.0,1000,218092,297
1521118773340502.0,1000,347004,383
1521118773341502.0,1000,508982,506
1521118773342502.0,1000,601133,537
1521118773343502.0,1000,397026,403
1521118773344502.0,1000,279385,342
1521118773345502.0,1000,336323,384
1521118773346502.0,1000,364096,384
1521118773347502.0,1000,330415,394
1521118773348502.0,1000,269311,332
1521118773349502.0,1000,240139,308
1521118773350502.0,1000,237801,341
1521118773351502.0,1000,285178,324
1521118773352502.0,1000,262612,293
1521118773353502.0,1000,268663,324
1521118773354502.0,1000,219808,302
1521118773355502.0,1000,283615,343
1521118773356502.0,1000,304421,339
1521118773357502.0,1000,428695,445
1521118773358502.0,1000,539741,534
1521118773359502.0,1000,417792,463
1521118773360502.0,1000,392984,452
1521118773361502.0,1000,414781,424
1521118773362502.0,1000,390726,423
1521118773363502.0,1000,348028,397
1521118773364502.0,1000,317949,367
1521118773365502.0,1000,276242,326
1521118773366502.0,1000,349648,396
1521118773367502.0,1000,298916,354
1521118773368502.0,1000,312851,365
1521118773369502.0,1000,391340,432
1521118773370502.0,1000,269940,360
1521118773371502.0,1000,591792,531
1521118773372502.0,1000,529804,513
1521118773373502.0,1000,306127,368
1521118773374502.0,1000,343511,359
1521118773375502.0,1000,322676,378
1521118773376502.0,1000,435163,416
1521118773377502.0,1000,422288,449
1521118773378502.0,1000,497875,467
1521118773379502.0,1000,565223,553
1521118773380502.0,1000,658669,580
1521118773381502.0,1000,596173,576
1521118773382502.0,1000,496808,470
1521118773383502.0,1000,314381,331
1521118773384502.0,1000,397030,411
1521118773385502.0,1000,260114,332
1521118773386502.0,1000,268408,363
1521118773387502.0,1000,388637,413
1521118773388502.0,1000,273981,344
1521118773389502.0,1000,373828,379
1521118773390502.0,1000,349825,411
