time,td,byt,pkt
1521118773309402.0,100,55324,61
1521118773309502.0,100,31534,33
1521118773309602.0,100,40700,41
1521118773309702.0,100,41717,44
1521118773309802.0,100,67646,60
1521118773309902.0,100,82392,83
1521118773310002.0,100,42070,40
1521118773310102.0,100,41839,46
1521118773310202.0,100,41969,40
1521118773310302.0,100,33145,42
1521118773310402.0,100,37454,32
1521118773310502.0,100,33162,37
1521118773310602.0,100,44785,52
1521118773310702.0,100,54161,56
1521118773310802.0,100,30510,35
1521118773310902.0,100,36481,42
1521118773311002.0,100,14777,20
1521118773311102.0,100,32763,39
1521118773311202.0,100,25787,35
1521118773311302.0,100,34715,38
1521118773311402.0,100,32371,38
1521118773311502.0,100,38070,42
1521118773311602.0,100,55776,52
1521118773311702.0,100,37452,42
1521118773311802.0,100,24171,25
1521118773311902.0,100,30021,30
1521118773312002.0,100,17178,23
1521118773312102.0,100,44545,47
1521118773312202.0,100,23344,31
1521118773312302.0,100,28910,38
1521118773312402.0,100,33364,39
1521118773312502.0,100,30765,31
1521118773312602.0,100,26801,33
1521118773312702.0,100,20382,29
1521118773312802.0,100,25484,31
1521118773312902.0,100,26297,38
1521118773313002.0,100,20822,32
1521118773313102.0,100,31023,36
1521118773313202.0,100,33137,44
1521118773313302.0,100,22585,33
1521118773313402.0,100,30599,33
1521118773313502.0,100,25521,31
1521118773313602.0,100,42119,40
1521118773313702.0,100,22264,30
1521118773313802.0,100,36928,39
1521118773313902.0,100,11494,26
1521118773314002.0,100,27169,32
1521118773314102.0,100,27821,35
1521118773314202.0,100,35430,35
1521118773314302.0,100,27269,37
1521118773314402.0,100,7910,13
1521118773314502.0,100,18692,23
1521118773314602.0,100,35593,39
1521118773314702.0,100,24593,28
1521118773314802.0,100,17782,33
1521118773314902.0,100,34635,37
1521118773315002.0,100,27337,25
1521118773315102.0,100,33524,34
1521118773315202.0,100,49146,44
1521118773315302.0,100,83149,70
1521118773315402.0,100,53912,52
1521118773315502.0,100,51570,53
1521118773315602.0,100,25594,36
1521118773315702.0,100,41550,44
1521118773315802.0,100,30221,35
1521118773315902.0,100,26148,29
1521118773316002.0,100,24348,36
1521118773316102.0,100,26896,30
1521118773316202.0,100,32145,34
1521118773316302.0,100,32538,37
1521118773316402.0,100,36137,37
1521118773316502.0,100,46031,43
1521118773316602.0,100,32336,36
1521118773316702.0,100,31807,29
1521118773316802.0,100,41784,46
1521118773316902.0,100,36745,35
1521118773317002.0,100,26124,29
1521118773317102.0,100,29652,37
1521118773317202.0,100,39826,41
1521118773317302.0,100,20671,24
1521118773317402.0,100,33661,35
1521118773317502.0,100,34433,38
1521118773317602.0,100,20352,23
1521118773317702.0,100,55926,47
1521118773317802.0,100,77718,63
1521118773317902.0,100,44166,49
1521118773318002.0,100,47485,50
1521118773318102.0,100,103421,88
1521118773318202.0,100,29671,31
1521118773318302.0,100,50151,40
1521118773318402.0,100,40535,47
1521118773318502.0,100,31945,33
1521118773318602.0,100,37065,43
1521118773318702.0,100,42929,45
1521118773318802.0,100,56013,46
1521118773318902.0,100,55545,54
1521118773319002.0,100,47631,55
1521118773319102.0,100,35312,40
1521118773319202.0,100,29531,30
1521118773319302.0,100,28992,32
1521118773319402.0,100,39181,44
1521118773319502.0,100,32384,34
1521118773319602.0,100,43348,42
1521118773319702.0,100,34763,33
1521118773319802.0,100,37882,40
1521118773319902.0,100,26756,35
1521118773320002.0,100,30366,36
1521118773320102.0,100,37389,39
1521118773320202.0,100,69402,60
1521118773320302.0,100,71889,70
1521118773320402.0,100,47230,45
1521118773320502.0,100,35411,41
1521118773320602.0,100,21419,24
1521118773320702.0,100,33859,33
1521118773320802.0,100,45730,48
1521118773320902.0,100,50682,51
1521118773321002.0,100,26681,32
1521118773321102.0,100,19883,23
1521118773321202.0,100,37033,46
1521118773321302.0,100,46376,37
1521118773321402.0,100,23540,25
1521118773321502.0,100,36980,37
1521118773321602.0,100,16727,24
1521118773321702.0,100,32133,37
1521118773321802.0,100,57260,55
1521118773321902.0,100,35344,42
1521118773322002.0,100,46679,49
1521118773322102.0,100,30296,39
1521118773322202.0,100,12653,23
1521118773322302.0,100,41436,46
1521118773322402.0,100,46943,43
1521118773322502.0,100,53637,47
1521118773322602.0,100,38921,45
1521118773322702.0,100,41207,44
1521118773322802.0,100,26555,33
1521118773322902.0,100,48299,50
1521118773323002.0,100,49397,49
1521118773323102.0,100,40655,38
1521118773323202.0,100,28671,31
1521118773323302.0,100,75088,68
1521118773323402.0,100,98634,81
1521118773323502.0,100,41754,44
1521118773323602.0,100,46513,50
1521118773323702.0,100,42589,40
1521118773323802.0,100,40805,44
1521118773323902.0,100,42150,44
1521118773324002.0,100,35308,42
1521118773324102.0,100,43740,39
1521118773324202.0,100,48070,46
1521118773324302.0,100,47587,46
1521118773324402.0,100,34118,37
1521118773324502.0,100,27756,34
1521118773324602.0,100,38324,36
1521118773324702.0,100,36454,34
1521118773324802.0,100,38346,41
1521118773324902.0,100,29181,39
1521118773325002.0,100,46260,44
1521118773325102.0,100,65527,100
1521118773325202.0,100,46060,63
1521118773325302.0,100,42237,38
1521118773325402.0,100,43878,49
1521118773325502.0,100,21190,28
1521118773325602.0,100,42798,48
1521118773325702.0,100,39869,47
1521118773325802.0,100,15296,24
1521118773325902.0,100,24692,36
1521118773326002.0,100,47370,51
1521118773326102.0,100,36147,39
1521118773326202.0,100,37256,37
1521118773326302.0,100,24235,33
1521118773326402.0,100,56425,50
