time,td,byt,pkt
1521118773289502.0,10000,4282505,4534
1521118773299502.0,10000,3459820,3828
1521118773309502.0,10000,3616778,3889
1521118773319502.0,10000,3816459,4131
1521118773329502.0,10000,2676225,3289
1521118773339502.0,10000,3651767,3962
1521118773349502.0,10000,3070673,3553
1521118773359502.0,10000,3519917,3967
1521118773369502.0,10000,4110516,4273
1521118773379502.0,10000,4219424,4373
1521118773389502.0,10000,4819808,4827
1521118773399502.0,10000,3882999,4138
1521118773409502.0,10000,4440171,4530
1521118773419502.0,10000,3942456,4274
1521118773429502.0,10000,4451537,4619
1521118773439502.0,10000,3451409,4058
1521118773449502.0,10000,3613319,4045
1521118773459502.0,10000,3499675,3964
1521118773469502.0,10000,3558420,3965
1521118773479502.0,10000,4525524,4733
1521118773489502.0,10000,4102408,4393
1521118773499502.0,10000,4291964,4433
1521118773509502.0,10000,4212002,4472
1521118773519502.0,10000,3593432,3927
1521118773529502.0,10000,3726006,4029
1521118773539502.0,10000,3168388,3588
1521118773549502.0,10000,3818654,4240
1521118773559502.0,10000,3572682,4055
1521118773569502.0,10000,3659626,3937
1521118773579502.0,10000,3064061,3653
1521118773589502.0,10000,3739507,4238
1521118773599502.0,10000,4704256,4624
1521118773609502.0,10000,3769689,4238
1521118773619502.0,10000,4544731,4760
1521118773629502.0,10000,4096597,4265
1521118773639502.0,10000,3739447,4068
1521118773649502.0,10000,3405441,3943
1521118773659502.0,10000,3341229,3938
1521118773669502.0,10000,3297329,3814
1521118773679502.0,10000,3960972,4258
1521118773689502.0,10000,3211395,3751
1521118773699502.0,10000,3261012,3825
1521118773709502.0,10000,3908219,4239
1521118773719502.0,10000,4031061,4194
1521118773729502.0,10000,3277518,3849
1521118773739502.0,10000,3954480,4269
1521118773749502.0,10000,3460249,3892
1521118773759502.0,10000,3977120,4251
1521118773769502.0,10000,4984590,4916
1521118773779502.0,10000,4662267,4695
1521118773789502.0,10000,4087815,4367
1521118773799502.0,10000,4241192,4469
1521118773809502.0,10000,3923158,4210
1521118773819502.0,10000,3930733,4271
1521118773829502.0,10000,4219736,4512
1521118773839502.0,10000,3229527,3782
1521118773849502.0,10000,4251677,4591
1521118773859502.0,10000,4280233,4492
1521118773869502.0,10000,3887928,4247
1521118773879502.0,10000,4140763,4496
1521118773889502.0,10000,3635446,3992
1521118773899502.0,10000,3828862,4197
1521118773909502.0,10000,3882078,4203
1521118773919502.0,10000,4822883,4869
1521118773929502.0,10000,4120334,4339
1521118773939502.0,10000,4456786,4614
1521118773949502.0,10000,3034900,3712
1521118773959502.0,10000,3432586,3861
1521118773969502.0,10000,3109694,3644
1521118773979502.0,10000,4185563,4533
1521118773989502.0,10000,3659853,4103
1521118773999502.0,10000,4385641,4476
1521118774009502.0,10000,4191370,4338
1521118774019502.0,10000,2899772,3474
1521118774029502.0,10000,3719638,4127
1521118774039502.0,10000,4525123,4560
1521118774049502.0,10000,4452001,4614
1521118774059502.0,10000,3774040,4009
1521118774069502.0,10000,4410496,4539
1521118774079502.0,10000,4814856,4756
1521118774089502.0,10000,3656054,4039
1521118774099502.0,10000,3287648,3833
1521118774109502.0,10000,3603631,4050
1521118774119502.0,10000,4574901,4937
1521118774129502.0,10000,3584326,3923
1521118774139502.0,10000,2916321,3521
1521118774149502.0,10000,4963603,4857
1521118774159502.0,10000,4057609,4319
1521118774169502.0,10000,3402452,3861
1521118774179502.0,10000,4045258,4247
1521118774189502.0,10000,4287884,4518
1521118774199502.0,10000,4422789,4666
1521118774209502.0,10000,4470891,4624
1521118774219502.0,10000,3856354,4108
1521118774229502.0,10000,3957882,4259
1521118774239502.0,10000,5077823,5015
1521118774249502.0,10000,3747448,4017
1521118774259502.0,10000,4056555,4330
1521118774269502.0,10000,3473754,3885
1521118774279502.0,10000,3733223,4080
1521118774289502.0,10000,3181536,3781
1521118774299502.0,10000,3650534,3988
1521118774309502.0,10000,3717024,4095
1521118774319502.0,10000,6257910,5780
1521118774329502.0,10000,3816519,4110
1521118774339502.0,10000,5016719,4859
1521118774349502.0,10000,3922196,4192
1521118774359502.0,10000,4606959,4530
1521118774369502.0,10000,4590143,4688
1521118774379502.0,10000,4302561,4647
1521118774389502.0,10000,3830651,4020
1521118774399502.0,10000,3273131,3732
1521118774409502.0,10000,4786501,4770
1521118774419502.0,10000,4981151,4828
1521118774429502.0,10000,3721313,4007
1521118774439502.0,10000,4644610,4796
1521118774449502.0,10000,4528807,4767
1521118774459502.0,10000,5243228,5117
1521118774469502.0,10000,4685857,4874
1521118774479502.0,10000,4179233,4453
1521118774489502.0,10000,3405386,3861
1521118774499502.0,10000,3340796,3845
1521118774509502.0,10000,3193746,3661
1521118774519502.0,10000,3161746,3638
1521118774529502.0,10000,2926760,3424
1521118774539502.0,10000,4100635,4316
1521118774549502.0,10000,4726760,4704
1521118774559502.0,10000,3074428,3483
1521118774569502.0,10000,3316980,3961
1521118774579502.0,10000,3705164,4198
1521118774589502.0,10000,4101261,4272
1521118774599502.0,10000,5237564,4981
1521118774609502.0,10000,3547176,3895
1521118774619502.0,10000,3751822,4088
1521118774629502.0,10000,4290336,4494
1521118774639502.0,10000,3983440,4277
1521118774649502.0,10000,3910385,4238
1521118774659502.0,10000,4489131,4565
1521118774669502.0,10000,3972341,4248
1521118774679502.0,10000,4066759,4246
1521118774689502.0,10000,3659172,4117
1521118774699502.0,10000,3623836,3955
1521118774709502.0,10000,3600975,3926
1521118774719502.0,10000,3879381,4122
1521118774729502.0,10000,3878714,4181
1521118774739502.0,10000,3757861,4126
1521118774749502.0,10000,3524657,3947
1521118774759502.0,10000,4515749,4630
1521118774769502.0,10000,3911996,4294
1521118774779502.0,10000,3780278,4084
1521118774789502.0,10000,4340188,4501
1521118774799502.0,10000,4114748,4372
